term,counts
we,185414
citizens,185297
millions,185249
500,185188
prevent,184120
safety,184096
wait,184027
press,183772
understand,183693
idea,183458
gets,182864
narendramodi,182716
on,182562
listen,182262
quedateencasa,181861
lab,181639
kids,181617
australia,181147
restrictions,181086
ça,180989
40,180941
la,180264
leaders,180084
potus,180046
families,179664
mayor,179596
else,179235
serious,179213
talk,178808
started,178385
hear,177705
fauci,177660
california,177637
ask,177545
leave,177293
boris,177213
stupid,177168
you,177003
party,175969
line,175551
positivo,175366
aquí,174966
all,174909
is,174900
schools,174859
different,174807
instead,174789
seems,174644
despite,174495
años,174488
thread,174356
petition,173935
administration,173472
primer,173014
thousands,172940
deal,172888
try,172618
wants,172544
vida,172342
ok,171939
epidemic,171854
web,171768
group,171491
needed,171341
60,171294
become,171104
en,171075
set,170625
tv,170581
employees,170188
infections,170159
problem,169968
wo,169533
yg,169402
pra,169341
worst,168728
anti,168667
lol,168499
companies,168316
threat,167635
able,167198
outside,167028
ng,166899
political,166410
scientists,165916
pacientes,165881
taken,165554
tem,165480
pneumonia,165338
talking,165135
im,164751
mal,164723
low,164280
aux,164280
industry,164226
kita,164041
sad,163983
contagio,163983
means,163884
hoax,163659
provide,163294
democrats,163010
seriously,162976
morning,162466
leadership,162255
reason,161964
based,161867
deadly,161836
venezuela,161835
rise,161768
general,161046
probably,160830
society,160801
wow,160580
vote,160545
florida,160380
rest,160191
ready,159222
official,159059
name,158901
hi,158451
helping,157986
ils,157946
sir,157701
nyc,157638
increase,157626
office,157503
contre,157360
power,157269
mejor,157210
message,157017
efforts,156821
cruise,156789
cada,156770
homes,155933
concerns,155841
behind,155809
facebook,155531
fund,155441
22,155387
given,155234
argentina,155154
dice,154923
socialdistancing,154896
company,154894
front,154816
according,154183
for,154151
members,154023
dengan,153993
200,153943
ist,153669
came,153658
worldwide,153399
briefing,153363
happy,153016
visit,152167
fox,152139
ship,152060
00,151676
hey,151586
almost,151567
past,151466
पर,151420
coronavirusupdate,151149
stock,150954
रह,150935
vez,150867
nurses,150575
lies,150409
blame,149904
staysafe,149892
información,149707
issues,149249
black,148972
tan,148942
fallecidos,148700
guys,148542
dangerous,148445
financial,148416
confirmados,148122
calls,148080
avoid,147984
washington,147844
sono,147738
resources,147457
poor,147453
women,147143
23,147009
foxnews,146844
looks,146758
buy,146698
moment,146187
dari,146120
google,146107
ke,145712
sense,145540
comes,145519
un,145363
interesting,145125
crise,145081
yesterday,145076
living,144757
demand,144348
international,144327
ont,144316
list,144308
della,144279
play,143970
número,143829
guy,143687
ang,143492
healthy,143489
países,143388
casi,143111
stimulus,143103
recovery,143046
indonesia,142974
vamos,142965
calling,142838
zero,142764
key,142744
plans,142372
hold,142052
evidence,141946
dia,141861
vulnerable,141680
germany,141676
run,141624
killed,141430
den,141379
san,141319
spain,141245
residents,140903
leader,140787
law,140603
especially,140375
giving,140263
source,140201
vs,139975
course,139735
happen,139652
claims,139430
tener,139305
mass,139009
task,138879
aid,138372
jobs,138144
que,138139
billion,138081
favor,137999
though,137981
following,137941
heart,137872
chief,137734
gates,137601
bring,137481
mundial,137225
ppl,137087
area,137052
woman,136892
critical,136753
negative,136611
access,136404
vai,136400
contagios,136361
thinking,136270
supplies,136096
ways,135672
dalam,135487
history,135345
80,135213
single,135111
bir,134923
kits,134854
results,134506
issue,134219
03,134103
send,133681
28,133630
noticias,133577
27,133545
26,133398
took,133346
goes,133336
tout,133294
reporting,132913
ones,132885
momento,132601
went,132542
sorry,132202
caused,132199
return,132142
millones,132069
markets,131888
evitar,131810
warns,131701
light,131598
move,131471
inside,131241
faire,131225
infectados,131107
higher,131082
common,130957
fait,130388
funding,130387
tiempo,130361
04,130329
wuhanvirus,130317
congress,130293
dont,130280
70,130241
cut,130123
center,129846
और,129774
pruebas,129749
university,129483
pa,129396
head,129264
finally,129185
hell,129159
nytimes,128829
facts,128728
among,128696
mit,128596
night,128555
parte,128337
ny,128253
